2026-03-07 13:33:27,308 [INFO] [100112] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:27,308 [INFO] [100595] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:27,308 [INFO] [100510] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:27,308 [INFO] [100827] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:27,308 [INFO] [100530] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:27,308 [INFO] [100250] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:27,308 [INFO] [100145] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:27,308 [INFO] [100726] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:27,308 [INFO] [100950] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:27,308 [INFO] [100862] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:27,309 [INFO] [100668] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:27,309 [INFO] [100620] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:27,309 [INFO] [100373] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:27,309 [INFO] [100294] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:27,309 [INFO] [100993] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:27,309 [INFO] [100292] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:27,309 [INFO] [100287] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:27,309 [INFO] [100613] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:27,309 [INFO] [100143] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:27,309 [INFO] [100367] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:27,309 [INFO] [100586] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:27,309 [INFO] [100908] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:27,309 [INFO] [100738] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:27,309 [INFO] [100732] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:27,309 [INFO] [100183] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:27,309 [INFO] [100948] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:27,309 [INFO] [100001] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:27,309 [INFO] [100854] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:27,309 [INFO] [100651] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:27,309 [INFO] [100298] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:27,309 [INFO] [100769] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:27,309 [INFO] [100822] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:27,309 [INFO] [100388] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,309 [INFO] [100339] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,309 [INFO] [100104] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,309 [INFO] [100378] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,309 [INFO] [100340] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,309 [INFO] [100722] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,309 [INFO] [100847] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,309 [INFO] [100088] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,309 [INFO] [100176] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,309 [INFO] [100327] RSI=None MACD=(None, None) STOCH=None
2026-03-07 13:33:28,310 [INFO] [100566] RSI=None MACD=(None, None) STOCH=None
